City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,maumere,-8.6199,122.2111,28.17,74,70,2.44,ID,1714871389
300,old town,50.087,14.4202,14.05,90,0,2.06,CZ,1714871240
301,nadi,-17.8,177.4167,31.0,66,75,4.63,FJ,1714871389
302,mossel bay,-34.1831,22.146,15.76,84,2,2.8,ZA,1714871389
303,tyuratam,45.6507,63.3156,14.93,50,100,4.21,KZ,1714871389
304,mednogorsk,51.4128,57.595,-0.2,68,7,0.8,RU,1714871389
305,burela de cabo,43.65,-7.4,13.9,88,100,4.8,ES,1714871389
306,jijiga,9.35,42.8,19.89,79,89,0.5,ET,1714871390
307,tromso,69.6496,18.957,1.01,64,100,3.09,NO,1714871390
308,queenstown,-31.8976,26.8753,12.97,53,0,0.6,ZA,1714871390
309,wuwei,37.9281,102.6414,20.02,15,0,1.07,CN,1714871390
310,lianran,24.9227,102.485,20.04,39,68,1.74,CN,1714871390
311,vorgashor,67.5833,63.95,-16.08,98,100,1.58,RU,1714871390
312,ostersund,63.1792,14.6357,7.25,45,12,2.24,SE,1714871216
313,mkuranga,-7.118,39.2078,20.87,90,100,4.54,TZ,1714871360
314,road town,18.4167,-64.6167,29.05,78,0,3.67,VG,1714871391
315,djambala,-2.5447,14.7533,21.83,83,16,0.52,CG,1714871391
316,kanaya,34.8167,138.1333,21.7,73,2,2.38,JP,1714871391
317,new norfolk,-42.7826,147.0587,13.84,52,0,0.27,AU,1714871391
318,namdrik,5.5994,168.1028,27.84,83,42,7.72,MH,1714871391
319,kourou,5.1552,-52.6478,27.03,95,80,3.2,GF,1714871392
320,acapulco de juarez,16.8634,-99.8901,26.9,78,40,4.12,MX,1714871340
321,kerikeri,-35.2268,173.9474,15.61,85,96,2.7,NZ,1714871392
322,tyukhtet,56.5389,89.3011,8.0,82,100,2.9,RU,1714871392
323,mournies,35.4764,24.0092,15.22,88,75,2.57,GR,1714871392
324,bikenibeu village,1.3673,173.1241,31.98,70,20,4.63,KI,1714871392
325,nadym,65.5333,72.5167,-3.91,80,100,8.6,RU,1714871392
326,yumaguzino,52.9041,56.3933,-0.8,72,8,0.69,RU,1714871393
327,howard springs,-12.497,131.047,31.01,68,100,5.04,AU,1714871393
328,ta`u,-14.2336,-169.5144,28.38,81,99,9.91,AS,1714871393
329,pathein,16.7833,94.7333,30.55,66,2,3.74,MM,1714871393
330,mildura,-34.2,142.15,18.93,72,93,3.94,AU,1714871393
331,maintirano,-18.0667,44.0167,25.26,81,73,2.25,MG,1714871393
332,koreiz,44.4337,34.0852,4.25,65,0,4.79,UA,1714871393
333,vadso,70.0744,29.7487,-0.91,80,75,7.72,NO,1714871394
334,veinticinco de mayo,-35.4323,-60.1727,14.43,96,0,2.68,AR,1714871394
335,buala,-8.145,159.5921,29.1,76,100,2.43,SB,1714871394
336,gorontalo,0.5412,123.0595,30.71,64,33,0.59,ID,1714871257
337,sovetsk,55.0839,21.8785,11.46,80,100,1.96,RU,1714871394
338,saint-philippe,-21.3585,55.7679,21.77,80,84,6.77,RE,1714871395
339,al bardiyah,31.7561,25.0865,16.16,68,4,7.86,LY,1714871395
340,churchdown,51.8871,-2.1816,10.22,87,43,1.19,GB,1714871395
341,bandrele,-12.9067,45.1914,27.86,89,20,4.12,YT,1714871395
342,guerrero negro,27.9769,-114.0611,17.55,71,0,9.23,MX,1714871387
343,kachkanar,58.7,59.4948,-3.62,64,0,3.43,RU,1714871395
344,kotel'nikovo,47.6317,43.1461,4.28,46,100,3.2,RU,1714871395
